"","external_gene_name","chromosome_name","transcript_biotype"
"523","Adam26b","8","protein_coding"
"524","Ranbp10","8","protein_coding"
"525","Naa50","16","protein_coding"
"526","Gm15085","X","protein_coding"
"527","Gm10439","X","protein_coding"
"528","Usf3","16","protein_coding"
"529","Gpr88","3","protein_coding"
"530","Adam26a","8","protein_coding"
"531","Xlr5a","X","protein_coding"
"532","Smc4","3","protein_coding"
"533","Adam34l","8","protein_coding"
"534","Adam34","8","protein_coding"
"535","Tmem184c","8","protein_coding"
"536","Gart","16","protein_coding"
"537","Slc6a7","18","protein_coding"
"538","Gm15097","X","protein_coding"
"539","Tsnaxip1","8","protein_coding"
"540","Wbp2nl","15","protein_coding"
"541","Cdx1","18","protein_coding"
"542","Naga","15","protein_coding"
"543","Pdgfrb","18","protein_coding"
"544","Gm15091","X","protein_coding"
"545","Mrpl57","14","protein_coding"
"546","Ednra","8","protein_coding"
"547","Trim59","3","protein_coding"
"548","Banf1","19","protein_coding"
"549","Tbc1d4","14","protein_coding"
"550","Cdc14a","3","protein_coding"
"551","Zfp184","13","protein_coding"
"552","Cenpt","8","protein_coding"
"553","Atrx","X","protein_coding"
"554","Eif1ad","19","protein_coding"
"555","Vwa2","19","protein_coding"
"556","Pom121l2","13","protein_coding"
"557","Prss16","13","protein_coding"
"558","Pheta2","15","protein_coding"
"559","Smdt1","15","protein_coding"
"560","Thap11","8","protein_coding"
"561","Ttc29","8","protein_coding"
"562","H2ac12","13","protein_coding"
"563","H2bc12","13","protein_coding"
"564","H4c9","13","protein_coding"
"565","Csf1r","18","protein_coding"
"566","H2ac11","13","protein_coding"
"567","H2bc11","13","protein_coding"
"568","Gtsf1","15","protein_coding"
"569","Vmn1r188","13","protein_coding"
"570","Vmn1r189","13","protein_coding"
"571","Sart1","19","protein_coding"
"572","Pou4f2","8","protein_coding"
"573","Vmn1r191","13","protein_coding"
"574","Vmn1r192","13","protein_coding"
"575","Kpna4","3","protein_coding"
"576","Rbmxl1","8","protein_coding"
"577","Vmn1r193","13","protein_coding"
"578","Vmn1r194","13","protein_coding"
"579","Vmn1r195","13","protein_coding"
"580","Arhgef7","8","protein_coding"
"581","Vmn1r196","13","protein_coding"
"582","Phactr1","13","protein_coding"
"583","Tsga10ip","19","protein_coding"
"584","Zdhhc20","14","protein_coding"
"585","Arl14","3","protein_coding"
"586","Ppm1l","3","protein_coding"
"587","Hmgxb3","18","protein_coding"
"588","Drap1","19","protein_coding"
"589","Sidt1","16","protein_coding"
"590","B3galnt1","3","protein_coding"
"591","Ndufa6","15","protein_coding"
