"","external_gene_name","chromosome_name","transcript_biotype"
"536","col-109","IV","protein_coding"
"537","col-110","IV","protein_coding"
"538","col-111","IV","protein_coding"
"539","col-113","IV","protein_coding"
"540","col-114","IV","protein_coding"
"541","col-115","IV","protein_coding"
"542","col-116","IV","protein_coding"
"543","col-117","IV","protein_coding"
"544","col-118","IV","protein_coding"
"545","col-119","IV","protein_coding"
"546","col-120","IV","protein_coding"
"547","col-121","IV","protein_coding"
"548","col-122","IV","protein_coding"
"549","col-123","IV","protein_coding"
"550","col-124","IV","protein_coding"
"551","col-125","IV","protein_coding"
"552","col-126","IV","protein_coding"
"553","col-127","IV","protein_coding"
"554","col-128","IV","protein_coding"
"555","col-129","IV","protein_coding"
"556","col-130","IV","protein_coding"
"557","col-131","IV","protein_coding"
"558","col-132","IV","protein_coding"
"559","col-133","IV","protein_coding"
"560","col-135","IV","protein_coding"
"561","col-137","IV","protein_coding"
"562","col-138","IV","protein_coding"
"563","col-139","V","protein_coding"
"564","col-140","V","protein_coding"
"565","col-141","V","protein_coding"
"566","col-142","V","protein_coding"
"567","col-143","V","protein_coding"
"568","col-144","V","protein_coding"
"569","col-145","V","protein_coding"
"570","col-146","V","protein_coding"
"571","col-147","V","protein_coding"
"572","col-148","V","protein_coding"
"573","col-149","V","protein_coding"
"574","col-150","V","protein_coding"
"575","col-151","V","protein_coding"
"576","col-152","V","protein_coding"
"577","col-153","V","protein_coding"
"578","col-154","V","protein_coding"
"579","col-155","V","protein_coding"
"580","col-156","V","protein_coding"
"581","col-157","V","protein_coding"
"582","col-158","V","protein_coding"
"583","col-159","V","protein_coding"
"584","col-160","V","protein_coding"
"585","col-161","V","protein_coding"
"586","col-162","V","protein_coding"
"587","col-163","V","protein_coding"
"588","col-164","X","protein_coding"
"589","col-165","X","protein_coding"
"590","col-166","X","protein_coding"
"591","col-167","X","protein_coding"
"592","col-168","X","protein_coding"
"593","col-169","X","protein_coding"
"594","col-170","X","protein_coding"
"595","col-171","X","protein_coding"
"596","col-172","X","protein_coding"
"597","col-173","X","protein_coding"
"598","col-174","X","protein_coding"
"599","col-175","X","protein_coding"
"600","col-176","X","protein_coding"
"601","col-177","X","protein_coding"
"602","col-178","X","protein_coding"
"603","col-179","X","protein_coding"
"604","col-180","X","protein_coding"
"605","col-181","X","protein_coding"
"606","col-183","X","protein_coding"
"607","col-184","X","protein_coding"
"608","col-185","X","protein_coding"
"609","col-186","X","protein_coding"
"610","col-187","X","protein_coding"
"611","coq-1","I","protein_coding"
"612","coq-2","III","protein_coding"
"613","coq-3","IV","protein_coding"
"614","coq-4","I","protein_coding"
"615","coq-5","III","protein_coding"
"616","coq-6","V","protein_coding"
"617","coq-8","III","protein_coding"
"618","cor-1","III","protein_coding"
"619","cpb-1","III","protein_coding"
"620","cpb-2","II","protein_coding"
"621","cpb-3","I","protein_coding"
"622","cpf-1","II","protein_coding"
"623","cpf-2","III","protein_coding"
"624","cpin-1","IV","protein_coding"
"625","cpl-1","V","protein_coding"
"626","cpn-1","I","protein_coding"
"627","cpn-2","II","protein_coding"
"628","cpn-3","I","protein_coding"
"629","cpn-4","I","protein_coding"
"630","cpr-1","V","protein_coding"
"631","cpr-2","V","protein_coding"
"632","cpr-3","V","protein_coding"
"633","cpr-4","V","protein_coding"
"634","cpr-5","V","protein_coding"
"635","cpr-6","X","protein_coding"
"636","cps-6","I","protein_coding"
"637","cpz-1","I","protein_coding"
"638","cpz-2","V","protein_coding"
"639","crb-1","X","protein_coding"
"640","crh-1","III","protein_coding"
"641","crn-1","I","protein_coding"
"642","crn-2","V","protein_coding"
"643","crn-3","II","protein_coding"
"644","crn-4","X","protein_coding"
"645","crn-5","II","protein_coding"
"646","crn-6","III","protein_coding"
"647","cars-1","I","protein_coding"
"648","crt-1","V","protein_coding"
"649","csb-1","X","protein_coding"
"650","csc-1","II","protein_coding"
"651","csk-1","I","protein_coding"
"652","csn-1","V","protein_coding"
"653","csn-2","I","protein_coding"
"654","csn-3","IV","protein_coding"
"655","csn-4","IV","protein_coding"
"656","csn-5","IV","protein_coding"
"657","csn-6","IV","protein_coding"
"658","csp-1","II","protein_coding"
"659","csp-2","IV","protein_coding"
"660","csp-3","I","protein_coding"
"661","csq-1","X","protein_coding"
"662","ctb-1","MtDNA","protein_coding"
"663","ctl-1","II","protein_coding"
"664","ctl-2","II","protein_coding"
"665","ctn-1","I","protein_coding"
